SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,AOT380,AOT440,AOT675,AOT870,AOT1020,WATER
31487,1,02/28/13,16:40:24,-39.421,-71.941,2830,723,32,1.178,0.983,3.5,1222.78,756.28,967.55,617.5,915.72,0.004,0.002,0.002,0.002,0.002,0.137,0.152,0.105,0.116,0.204,Na  
31487,2,02/28/13,16:40:39,-39.421,-71.941,2830,723,31.99,1.178,0.983,3.4,1226.2,758.58,971.94,618.51,917.4,0.003,0.002,0.001,0.001,0.001,0.135,0.149,0.101,0.114,0.202,Na  
31487,3,02/28/13,16:40:53,-39.421,-71.941,2830,723,31.99,1.178,0.983,3.3,1232.74,761.46,973.69,617.35,916.64,0.001,0.001,0.001,0.001,0.001,0.13,0.146,0.099,0.116,0.203,Na  
31487,4,02/28/13,16:41:09,-39.421,-71.941,2830,723,31.98,1.178,0.983,3.2,1231.86,759.48,970.53,614.3,911.97,0.005,0.003,0.001,0.001,0.001,0.131,0.148,0.102,0.12,0.208,Na  
31487,5,02/28/13,16:45:23,-39.421,-71.941,2830,723,31.86,1.177,0.983,2.7,1201.81,739.88,950.03,598.5,887.37,0.022,0.014,0.015,0.023,0.023,0.152,0.171,0.121,0.142,0.231,Na  
31487,6,02/28/13,16:45:38,-39.421,-71.941,2830,723,31.86,1.177,0.983,2.7,1218.37,739.35,947.92,588.85,876.57,0.002,0.001,0.001,0.001,0.001,0.141,0.171,0.122,0.156,0.241,Na  
31487,7,02/28/13,16:45:52,-39.421,-71.941,2830,723,31.85,1.177,0.983,2.7,1211.66,734.43,944.4,585.34,872.46,0.005,0.004,0.001,0.002,0.001,0.146,0.177,0.126,0.161,0.245,Na  
31487,8,02/28/13,16:46:09,-39.421,-71.941,2830,723,31.85,1.176,0.983,2.7,1209.12,729.66,937.77,579.43,862.7,0.003,0.002,0.001,0.001,0.001,0.147,0.183,0.132,0.17,0.255,Na  
31487,9,02/28/13,16:46:24,-39.421,-71.941,2830,723,31.84,1.176,0.983,2.6,1172.85,709.15,921.79,568.57,845.15,0.007,0.005,0.002,0.002,0.002,0.173,0.207,0.146,0.186,0.273,Na  
31487,10,02/28/13,16:46:38,-39.421,-71.941,2830,723,31.84,1.176,0.983,2.6,1235.01,757.14,963.28,611.53,906.24,0.003,0.005,0.002,0.015,0.012,0.129,0.151,0.109,0.124,0.213,Na  
31487,11,02/28/13,16:46:53,-39.421,-71.941,2830,723,31.83,1.176,0.983,2.5,1224.32,748.8,960.06,602.1,895.24,0.003,0.002,0.001,0.001,0.001,0.137,0.161,0.112,0.137,0.224,Na  
